Date,Open
2015-09-29,239.14
2015-09-28,232.4
2015-09-27,233.81
2015-09-26,235.14
2015-09-25,233.88
2015-09-24,229.42
2015-09-23,230.08
2015-09-22,226.15
2015-09-21,230.1
2015-09-20,230
2015-09-19,233.24
2015-09-18,232.2
2015-09-17,228.34
2015-09-16,229.99
2015-09-15,229.84
2015-09-14,229.66
2015-09-13,234.79
2015-09-12,239.92
2015-09-11,238.57
2015-09-10,238.35
2015-09-09,244.04
2015-09-08,240.07
2015-09-07,240.28
2015-09-06,235.39
2015-09-05,230.72
2015-09-04,227.24
2015-09-03,228.95
2015-09-02,227.97
2015-09-01,230.25
2015-08-31,229.04
2015-08-30,230.41
2015-08-29,231.76
2015-08-28,225.09
2015-08-27,225.8
2015-08-26,222.38
2015-08-25,209.76
2015-08-24,228.35
2015-08-23,231
2015-08-22,233.5
2015-08-21,235.15
2015-08-20,226.4
2015-08-19,224
2015-08-18,256.66
2015-08-17,256.11
2015-08-16,261.46
2015-08-15,265.57
2015-08-14,264.74
2015-08-13,267.53
2015-08-12,271.15
2015-08-11,264.11
2015-08-10,265.05
2015-08-09,262.19
2015-08-08,279.94
2015-08-07,277.48
2015-08-06,281.13
2015-08-05,284.91
2015-08-04,280.43
2015-08-03,282.53
2015-08-02,280.19
2015-08-01,284.69
2015-07-31,288.29
2015-07-30,289.85
2015-07-29,294.01
2015-07-28,294.03
2015-07-27,292.85
2015-07-26,288.97
2015-07-25,289
2015-07-24,276.61
2015-07-23,277.5
2015-07-22,276.49
2015-07-21,278.95
2015-07-20,275.08
2015-07-19,276.74
2015-07-18,279.15
2015-07-17,277.74
2015-07-16,285.67
2015-07-15,287.49
2015-07-14,292.54
2015-07-13,310.55
2015-07-12,291.65
2015-07-11,284.63
2015-07-10,268.98
2015-07-09,270.41
2015-07-08,265.67
2015-07-07,268.53
2015-07-06,271.39
2015-07-05,260.16
2015-07-04,256.06
2015-07-03,254.49
2015-07-02,257.62
2015-07-01,262.58
2015-06-30,256.04
2015-06-29,248.63
2015-06-28,251.28
2015-06-27,242.98
2015-06-26,242.08
2015-06-25,240.19
2015-06-24,243.85
2015-06-23,245.99
2015-06-22,243.6
2015-06-21,244.65
2015-06-20,243.75
2015-06-19,248.45
2015-06-18,247.76
2015-06-17,250.02
2015-06-16,236
2015-06-15,232.08
2015-06-14,231.64
2015-06-13,229.3
2015-06-12,229.14
2015-06-11,227.88
2015-06-10,228.7
2015-06-09,228.05
2015-06-08,222.65
2015-06-07,224.95
